Team,Wins,Losses,PythWins,PF,PA,2PA,2P%,3PA,3P%,o2P%,o3P%,PP100,oPP100,Age,DRate,ORate,Pace,eFG%,deFG%,NetRTG,PIE,AST/TO,TS%,PERAdd,PERLoss,oRPMAdd,dRPMadd,oRPMLoss,dRPMLoss,TankIncent,NumStar,NYWins,NYNetRate,NYPIE,NYELO,NYoRT,NYdRT,NY3PA,NY3PP,NYPace
2016 Hawks,43,39,39,103.2,104,58.3,0.501,26.1,0.341,0.491,0.357,104.9,105.7,27.9,103.1,102.3,97.4,0.504,0.507,-0.8,50.6,1.5,54.1,7,17,-0.5,-0.5,1.23,5.59,3,0,24,-5.8,46.9,1319,105,110.6,31,0.36,98.3
2016 Celtics,53,29,48,108,105.4,51.7,0.515,33.4,0.359,0.505,0.332,111.2,108.4,25.9,105.5,108.6,96.8,0.525,0.503,2.6,51.4,1.9,56.7,35,23,4.35,-2.3,7.48,-3.92,0,2,55,3.7,51.9,1592,107.6,103.9,30.4,0.377,96
2016 Cavaliers,51,31,49,110.3,107.2,51,0.528,33.9,0.384,0.504,0.361,113.6,110.3,29.2,108,110.9,96.2,0.547,0.516,3.1,51,1.66,58,28,23,7.48,-3.92,4.35,-2.3,0,2,50,1,50.2,1613,112.9,111.9,32.1,0.372,98
2016 Mavericks,33,49,33,97.9,100.8,52.2,0.489,30.2,0.355,0.51,0.38,105.6,108.8,27.6,106.3,103.7,92.2,0.505,0.529,-2.9,47.9,1.75,54.1,5,0,-0.5,-0.5,-0.5,-0.5,2,0,24,-3.3,47.5,1368,106.3,109.5,32.8,0.36,95.6
2016 Nuggets,40,42,42,111.7,111.2,58.9,0.519,28.8,0.368,0.519,0.375,113.2,112.7,25.2,110.5,110,98.3,0.53,0.532,0.5,50.3,1.69,56.8,20,0,1.23,5.59,-0.5,-0.5,0,1,46,0.8,51.1,1565,112.5,110.9,30.9,0.371,96.8
2016 Pistons,37,45,38,101.3,102.5,65.5,0.492,23.4,0.33,0.502,0.366,106,107.1,25.4,105.3,103.3,95,0.492,0.516,-1.2,48.2,1.78,52.1,20,22,3.02,0.76,0.75,-1.97,1,1,39,0,48.9,1467,107.2,107.3,28.9,0.373,96.2
2016 Warriors,67,15,67,115.9,104.3,55.8,0.557,31.2,0.383,0.485,0.324,115.6,104,28.2,101.1,113.2,99.8,0.563,0.486,11.6,57.9,2.06,59.7,10,10,-0.5,-0.5,-0.5,-0.5,0,4,58,8,55.4,1783,113.6,107.7,28.9,0.391,99.6
2016 Rockets,55,27,55,115.3,109.6,46.9,0.552,40.3,0.357,0.522,0.343,114.7,109,27.4,106.4,111.8,100,0.545,0.519,5.7,51.6,1.67,58.3,37,5,4.47,4.54,-0.5,-0.5,0,2,65,8.5,53.1,1736,114.7,106.1,42.3,0.362,97.6
2016 Pacers,42,40,40,105.1,105.3,61.5,0.498,23,0.376,0.501,0.355,108.6,108.8,27,106.3,106.2,95.9,0.516,0.512,-0.2,50.5,1.63,55.8,32,19,-4.26,0,2.67,-0.09,1,0,48,1.6,50.9,1578,109.5,108.1,24.5,0.369,96
2016 Clippers,51,31,52,108.7,104.4,55.8,0.525,27.4,0.375,0.497,0.35,112.7,108.2,30,105.8,110.3,96.1,0.537,0.506,4.3,52.7,1.74,57.4,5,25,-0.5,-0.5,3.02,0.76,1,0,42,0,49.7,1502,110.3,110.2,26.8,0.354,98.7
2016 Lakers,26,56,24,104.6,111.5,61.6,0.493,25.7,0.346,0.536,0.37,106,113,25.1,110.6,103.4,98.5,0.501,0.542,-6.9,44.6,1.38,53.7,22,10,0.71,-1.31,-0.5,-0.5,3,0,35,-1.4,49.1,1469,106.5,108,29.1,0.345,100.3
2016 Grizzlies,43,39,42,100.5,100,57.1,0.473,26.5,0.354,0.492,0.354,107.7,107.1,29.5,104.5,104.7,92.3,0.491,0.506,0.5,50.1,1.65,53.5,21,16,-1.52,0.02,2.33,-0.1,1,1,22,-6.6,46,1317,104.5,111,26.2,0.352,94.9
2016 Heat,41,41,44,103.2,102.1,58.8,0.496,27,0.365,0.49,0.343,107.8,106.7,26.5,104.1,105.2,95.2,0.512,0.496,1.1,50,1.58,54.1,10,10,-0.5,-0.5,-0.5,-0.5,2,0,44,0.5,50.5,1485,106.8,106.3,30.6,0.36,95.6
2016 Bucks,42,40,40,103.6,103.8,58.2,0.516,23.7,0.37,0.512,0.353,109.1,109.3,25.6,106.4,106.9,94.5,0.527,0.518,-0.2,50.4,1.73,56.5,5,5,-0.5,-0.5,-0.5,-0.5,0,1,44,0.7,50.2,1511,109.8,110.1,24.7,0.355,96.3
2016 Timberwolves,31,51,38,105.6,106.7,63.4,0.507,21,0.349,0.528,0.366,110.8,112,24,109.1,108.1,94.6,0.511,0.535,-1.1,50.1,1.69,55.5,21,5,1.86,-0.22,-0.5,-0.5,0,3,47,2.4,51.8,1565,113.4,111.1,22.5,0.357,96
2016 Pelicans,34,48,35,104.3,106.4,60.2,0.495,26.8,0.35,0.499,0.353,105.2,107.4,25.7,104.9,103.3,98,0.504,0.509,-2.1,49.3,1.77,53.9,40,10,2.21,0.15,-0.5,-0.5,0,2,48,2.1,52.5,1600,109.6,108.3,28.2,0.362,100.5
2016 Knicks,31,51,31,104.3,108,63.8,0.485,24.7,0.348,0.506,0.348,107.7,111.5,27.3,108.7,104.7,96,0.496,0.511,-3.7,48.2,1.57,53.4,20,15,1.9,-1.08,-0.2,0.95,2,1,29,-4.2,48.1,1369,107.1,110.7,23.3,0.352,96.8
2016 Thunder,47,35,43,106.6,105.8,61.6,0.504,25.8,0.327,0.502,0.356,108.3,107.5,24.7,105.1,105,97.8,0.5,0.511,0.8,49.9,1.4,54,31,32,2.67,-0.09,-4.26,0,0,3,48,2.9,50.8,1641,110.7,107.2,30.4,0.354,96.7
2016 Magic,29,53,24,101.1,107.6,60.9,0.488,26.1,0.328,0.51,0.367,103.7,110.5,25.3,108,101.2,96.8,0.489,0.523,-6.5,46,1.67,52.4,15,15,-0.5,-0.5,-0.5,-0.5,3,0,25,-4.9,47.2,1321,105.2,110.1,29.3,0.351,98.1
2016 76ers,28,54,26,102.4,108.1,55.5,0.496,29.8,0.34,0.503,0.357,103.2,108.9,24.6,106.4,100.7,98.5,0.501,0.512,-5.7,47,1.43,53.9,30,5,1.73,-2.11,-0.5,-0.5,0,1,52,5.4,54.2,1638,109.5,105,29.8,0.369,99.8
2016 Suns,24,58,27,107.7,113.3,65.9,0.491,22.6,0.332,0.504,0.382,106.6,112.2,25,109.3,103.9,100.3,0.493,0.525,-5.6,46.2,1.27,53.8,5,20,-0.5,-0.5,2.33,-0.64,3,0,21,-9.7,44.2,1255,103.5,112.8,27.9,0.334,100.3
2016 Trail Blazers,41,41,40,107.9,108.5,58.4,0.499,27.7,0.375,0.489,0.37,110.3,110.8,24.8,107.8,107.8,96.7,0.52,0.508,-0.6,49.3,1.54,55.9,5,0,-0.5,-0.5,-0.5,-0.5,0,2,49,1.9,51,1577,109.1,106.4,28.1,0.366,96.5
2016 Kings,32,50,31,102.8,106.7,58.2,0.496,23.9,0.376,0.517,0.364,107.3,111.3,27.8,109.1,104.6,94.9,0.516,0.528,-3.9,47.8,1.54,55.6,15,30,1.32,0.55,3.56,0.64,3,0,27,-7.9,45.1,1345,103.7,111.1,24,0.375,94.9
2016 Spurs,61,21,60,105.3,98.1,60.2,0.5,23.5,0.391,0.483,0.344,111.1,103.5,29.6,100.9,108.8,94.2,0.524,0.492,7.2,55.1,1.77,56.4,23,5,-0.21,1.96,-0.5,-0.5,0,2,47,3.1,52.5,1594,107.9,104.8,24.1,0.352,95
2016 Raptors,51,31,52,106.9,102.6,60,0.505,24.3,0.363,0.495,0.354,112.3,107.8,26.1,104.9,109.8,94.7,0.517,0.507,4.3,51.6,1.46,56.1,5,16,-0.5,-0.5,-0.69,1.76,0,2,59,7.6,53.8,1614,113.8,105.9,33,0.358,97.4
2016 Jazz,51,31,52,100.7,96.8,53.5,0.511,26,0.372,0.476,0.358,109.6,105.3,26.8,102.7,107.4,91.6,0.526,0.493,3.9,53.4,1.48,56.3,5,30,-0.5,-0.5,3.14,-0.08,1,1,48,4.6,53.2,1652,108.4,103.9,29.6,0.366,95.7
2016 Wizards,49,33,46,109.2,107.4,62.3,0.515,24.8,0.372,0.514,0.364,111.2,109.3,26,106.9,108.5,97.4,0.528,0.524,1.8,51.1,1.68,56.4,10,10,-0.5,-0.5,-0.5,-0.5,0,2,43,0.7,50.9,1504,109.3,108.7,26.5,0.375,96.6
2015 Hawks,48,34,51,102.8,99.2,56.1,0.512,28.4,0.35,0.469,0.338,105.1,101.4,28.2,105.1,101.4,97.1,0.516,0.48,3.6,52.8,1.71,55.2,15,20,-1.66,1.62,0.89,2.08,1,1,43,-0.8,50.6,1479,102.3,103.1,26.1,0.341,97.4
2015 Celtics,48,34,50,105.7,102.5,63.1,0.483,26.1,0.335,0.481,0.336,106.8,103.6,25.2,106.8,103.6,98.5,0.488,0.487,3.2,52,1.76,53.1,20,12,0.89,2.08,-1.84,0.23,0,1,53,2.6,51.4,1589,108.6,105.5,33.4,0.359,96.8
2015 Nets,21,61,22,98.6,106,66,0.481,18.4,0.352,0.526,0.369,103.2,110.9,26.9,103.2,110.9,95.2,0.492,0.534,-7.4,46,1.51,52.7,17,10,-0.65,-0.18,-2.51,-1.61,3,0,20,-6.7,46,1372,101.9,108,31.6,0.338,101.3
2015 Hornets,48,34,49,103.4,100.7,55,0.479,29.4,0.362,0.485,0.349,107.1,104.3,26,107.1,104.3,95.7,0.502,0.496,2.7,51.1,1.73,54.5,10,20,-0.5,-0.5,-0.96,-0.31,1,1,36,0.2,50.5,1463,106.4,106.1,28.6,0.351,95.7
2015 Bulls,42,40,37,101.6,103.1,66.1,0.464,21.4,0.371,0.474,0.345,105,106.5,27.6,105,106.5,95.7,0.487,0.485,-1.5,49.4,1.64,52.6,27,25,1.59,-2.37,-1.23,5.51,2,1,41,0.5,50.4,1519,104.6,104.5,22.3,0.34,95.3
2015 Cavaliers,57,25,57,104.3,98.3,54.4,0.514,29.6,0.362,0.487,0.347,110.9,104.5,28.1,110.9,104.5,93.3,0.524,0.496,6,52.8,1.67,55.8,10,16,-0.5,-0.5,-3.85,-0.39,0,3,51,3.1,51,1545,110.9,108,33.9,0.384,96.2
2015 Mavericks,42,40,40,102.3,102.6,55.6,0.495,28.6,0.344,0.5,0.342,106.7,107,30.3,106.7,107,94.3,0.502,0.504,-0.3,50.3,1.73,54.4,14,12,-0.17,-1.11,0.71,-0.23,1,0,33,-2.9,47.9,1420,103.7,106.3,30.2,0.355,92.2
2015 Nuggets,33,49,33,101.9,105,61.7,0.482,23.7,0.338,0.498,0.371,105.6,108.9,24.7,105.6,108.9,95.7,0.489,0.515,-3.1,47.9,1.55,53.1,10,14,-0.5,-0.5,-0.04,-1.71,0,0,40,0.5,50.3,1552,110,110.5,28.8,0.368,98.3
