Team,PA,YdsA,PlyA,pYPPa,TOa,FLa,T1stDa,PCmpa,PAtta,PYdsa,PTDa,Inta,NYPAa,p1stDa,Atta,RYdsa,TDa,YPAa,1stDa,Pena,PenYdsa,1stPya,ScPerca,TOPerca,dEXP,,,CmpPerca,,,TDPerca,,IntPerca,pYpAa,AYpAa,YpCa,YpGa,Ratea,Skf,SkYds,,ANYpAa,SkPercf,pdEXP,,,,,rYpGa,rdEXP,,,,,,,,oAllTD,o2PM,o2PA,oXPM,oXPA,oFGM,oFGA,,,oPtspG,o3DAtt,o3DConv,o3DPerc,o4DAtt,o4DConv,o4DPerc,oRZAtt,oRZScore,oRZPct,oNumDr,oPlays,oScPerc,oTOPerc,oPlaysPD,oYdsPD,oStart,oTimePD,oPtsPD,W,L,WLPerc,PF,,PD,MoV,SoS,SRS,OSRS,DSRS,,TotYds,Ply,YpP,TO,FL,Pa1stD,PCmp,PAtt,PYds,PTD,Int,NYpA,p1stD,Att,rYds,TD,YpA,1stD,Pen,PenYds,1stPy,ScoPerc,TORPerc,EXP,,,CmpPerc,,,TDPerc,,IntPerc,pLng,pYpA,pAYpA,YpC,pYpG,Rate,Sk,SkYdsa,,pANYpA,SkPerc,4QC,GWD,pEXP,,,,Lng,,YpG,Fmb,rEXP,,,,,,,,AllTD,2PaM,2PA,,XPM,XPA,FGM,FGA,,,PtspG,3DAtt,3DConv,3DPerc,4DAtt,4DConv,4DPerc,RZAtt,RZScore,RZPct,NumDr,Plays,ScPerc,TOPerc,PlaysPD,YdsPD,Start,Time,Pts,QbDYAR,,QbYAR,,QbDVOA,,QbVOA,QBR,,QbPass,QbYards,EYds,QbTD,,,QbINT,,,ALEX,AdjOLineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2ndLevelYards,2ndLevelRank,OpenFieldYards,OpenFieldRank,Sacks,AdjustedSackRate,AdjDLineYards,dRBYards,dPowerSuccess,dPowerRank,dStuffed,dStuffedRank,d2ndLevelYards,d2ndLevelRank,dOpenFieldYards,dOpenFieldRank,dSacks,dAdjustedSackRate,OFFDVOA,LASTYEARODVOA,WEIOFFENSE,,PASSOFF,PASSRANK,RUSHOFF,RUSHRANK,TOTALOFF,PASSDVOA,RUSHDVOA,oVAR,,,,DEFDVOA,LASTYEARDEFDVOA,WEIDEFENSE,,PASSDEF,PASSDEFRANK,RUSHDEF,RUSHDEFRANK,TOTALDEF,PASSDEFWEI,RUSHDEFWEI,VAR,,,,DraftVal,PrevAV,CurrAV,AVChange,SBOdds,2YrWins,2YrAvg,QBAdded,SBWin
Cardinals,361,4973,1008,4.9,21,6,283,343,564,3541,24,15,5.9,187,407,1432,12,3.5,68,129,1128,28,31.5,10.5,67.07,,,60.8,,,4.3,,2.7,6.7,6.4,11.1,221.3,83.9,37,255,,5.6,6.2,2.55,,,,,89.5,56.91,,,,,,,,41,1,7,33,34,26,29,,,22.6,224,80,35.7,16,7,43.8,46,27,58.7,200,1040,31.5,10.5,5.2,24.9,28.9,2.22,1.69,8,8,0.5,295,,-66,-4.1,0.4,-3.7,-4,0.2,,5026,1060,4.7,25,7,310,339,598,3640,21,18,5.6,200,410,1386,6,3.4,66,110,880,44,29.2,12.4,-87.98,,,56.7,,,3.5,,3,52,6.7,6,11.7,227.5,76.2,52,339,,5,8,5,5,-13.17,,,,33,,86.6,19,-67.36,,,,,,,,29,1,2,,23,26,32,40,,,18.4,233,82,35.2,16,7,43.8,48,20,41.7,202,1091,29.2,12.4,5.4,24.9,29.7,2.28,1.41,145,,276,,-3.2,,3.9,46.3,,289,1828,1666,10,,,7,,,0.3,4.02,3.38,68,9,20,13,0.9,32,0.3,32,52,0.08,3.34,3.36,0.62,12,0.23,6,0.96,6,0.56,6,37,0.06,-0.18,21,-0.18,,-0.07,27,-0.26,32,-0.16,-0.04,-0.23,0.04,,,,-0.13,3,-0.17,,-0.04,10,-0.24,1,-0.09,0.00,-0.21,0.04,,,,40.5,212,188,-24,10000,7,7.5,1,0
Falcons,315,5094,994,5.1,16,8,323,362,553,3429,22,8,5.8,197,402,1665,9,4.1,97,103,880,29,36,9.1,-42.66,,,65.5,,,4,,1.4,6.7,6.9,10.3,214.3,91.9,39,296,,5.9,6.6,-66.11,,,,,104.1,14.82,,,,,,,,33,1,2,31,31,28,33,,,19.7,196,75,38.3,19,13,68.4,48,22,45.8,164,1028,36,9.1,6.3,31,28.9,2.57,1.84,10,6,0.625,353,,38,2.4,1.9,4.3,1.1,3.2,,5837,984,5.9,18,6,330,343,530,3990,21,12,7.2,200,430,1847,12,4.3,101,102,918,29,41.2,10.3,91.01,,,64.7,,,4,,2.3,88,7.8,7.6,12.1,249.4,92.4,24,156,,7,4.3,2,3,138.01,,,,52,,115.4,17,-41.81,,,,,,,,36,0,1,,35,35,34,39,,,22.1,197,88,44.7,13,4,30.8,54,27,50,165,1027,41.2,10.3,6.2,35.3,25.9,2.54,2.06,1084,,1076,,19.1,,18.9,63.7,,552,3917,4360,20,,,12,,,1.2,4.35,4.25,64,17,21,20,1.25,6,0.85,10,24,0.05,4.15,3.84,0.76,29,0.20,17,1.09,13,0.51,4,39,0.07,0.08,1,0.07,,0.28,10,-0.06,16,0.08,0.27,-0.04,0.04,,,,0.06,26,0.02,,0.13,20,-0.04,20,0.07,0.16,-0.05,0.04,,,,34.3,249,222,-27,1600,11,10.5,0,0
Ravens,303,5201,1045,5,34,12,296,333,569,3421,18,22,5.6,179,435,1780,12,4.1,87,96,807,30,29.7,17.4,94.13,,,58.5,,,3.2,,3.9,6.5,5.4,11.1,213.8,72.4,41,280,,4.6,6.7,61.3,,,,,111.3,25.38,,,,,,,,32,0,2,27,30,28,33,,,18.9,222,82,36.9,16,6,37.5,45,22,48.9,195,1081,29.7,17.4,5.5,26.6,26.5,2.26,1.51,9,7,0.563,395,,92,5.8,-2.4,3.4,2.2,1.2,,4886,1054,4.6,17,4,311,363,567,3030,20,13,5.1,168,460,1856,14,4,111,91,749,32,36.5,8.9,-19.93,,,64,,,3.5,,2.3,66,5.7,5.4,8.9,189.4,81.4,27,205,,4.8,4.5,0,0,-13.04,,,,50,,116,19,-9.32,,,,,,,,42,1,3,,39,39,34,37,,,24.7,223,76,34.1,16,10,62.5,52,30,57.7,192,1095,36.5,8.9,5.7,25.4,32.8,2.34,1.84,-301,,-102,,-19.3,,-13.9,43,,574,2924,2552,18,,,13,,,0.5,4.36,4.22,69,7,20,14,1.27,5,0.7,17,27,0.04,3.85,4.12,0.62,14,0.21,15,1.1,14,0.87,26,41,0.07,-0.05,24,0.01,,-0.05,26,0.02,7,-0.01,0.05,-0.01,0.08,,,,-0.14,6,-0.12,,-0.15,2,-0.12,9,-0.18,-0.22,-0.13,0.11,,,,54.8,205,221,16,5000,8,8.5,0.5,0
Bills,359,5682,1066,5.3,25,7,348,370,573,3688,14,18,6.1,199,466,1994,22,4.3,121,97,873,28,37.2,13.1,-30.04,,,64.6,,,2.4,,3.1,6.7,5.8,10.4,230.5,78.9,27,156,,5.3,4.5,-19.31,,,,,124.6,-18.41,,,,,,,,38,0,1,35,36,32,35,,,22.4,214,82,38.3,20,11,55,57,30,52.6,183,1113,37.2,13.1,6.1,31.1,30.3,2.49,1.9,9,7,0.563,302,,-57,-3.6,-0.5,-4,-3,-1,,4842,1010,4.8,16,6,278,289,476,2825,16,10,5.4,149,487,2017,12,4.1,105,98,872,24,31.7,8.9,-60.82,,,60.7,,,3.4,,2.1,47,6.5,6.2,10.7,176.6,82.1,47,261,,5.2,9,1,3,-24.64,,,,48,,126.1,17,-35.28,,,,,,,,31,0,1,,29,29,29,33,,,18.9,241,101,41.9,15,2,13.3,44,23,52.3,180,1065,31.7,8.9,5.9,26.9,28.2,2.31,1.57,121,,263,,-7,,-2.1,52.7,,467,2540,2503,14,,,4,,,1.2,3.67,3.96,61,22,26,27,1.17,15,0.9,8,47,0.09,4.18,4.48,0.76,28,0.22,10,1.36,32,1,29,27,0.05,-0.11,10,-0.14,,-0.10,28,-0.08,19,-0.07,-0.04,-0.05,0.06,,,,0.02,27,0.07,,0.01,12,0.03,30,0.03,0.01,0.05,0.05,,,,54.5,205,195,-10,8000,7,8,1,0
Panthers,327,5074,953,5.3,21,11,282,351,550,3665,25,10,6.1,187,353,1409,7,4,69,101,867,26,33.9,11.7,29.03,,,63.8,,,4.5,,1.8,7.2,7.3,11.3,229.1,92.9,50,304,,6.2,8.3,-28.56,,,,,88.1,51.04,,,,,,,,34,2,2,32,32,29,34,,,20.4,206,78,37.9,20,7,35,44,21,47.7,180,993,33.9,11.7,5.5,28.2,28.1,2.28,1.73,11,5,0.688,363,,36,2.3,2.1,4.3,1.7,2.7,,5179,1026,5,22,6,320,293,501,3077,22,16,5.7,167,490,2102,15,4.3,121,83,682,32,37.4,11.7,-9.54,,,58.5,,,4.4,,3.2,64,6.6,6.1,11.3,192.3,79.8,35,242,,5.2,6.5,1,3,49.62,,,,69,,131.4,19,-59.58,,,,,,,,40,1,3,,34,37,29,30,,,22.7,222,93,41.9,11,5,45.5,52,28,53.8,179,1059,37.4,11.7,5.9,28.8,30,2.53,1.97,141,,197,,-6.9,,-5.2,47.7,,525,3059,2872,22,,,15,,,2.5,3.78,3.61,72,5,19,12,0.94,30,0.53,22,35,0.07,3.51,3.89,0.47,2,0.26,4,1.12,18,0.94,27,50,0.09,-0.01,25,0.02,,0.07,17,-0.02,11,0.01,0.11,-0.04,0.10,,,,-0.09,10,-0.07,,-0.04,11,-0.17,5,-0.06,0.01,-0.16,0.05,,,,40.6,195,218,23,4000,6,8.5,0,0
Bears,320,5106,1003,5.1,22,14,298,343,529,3376,18,8,5.9,180,432,1730,10,4,85,118,910,33,33.1,11.2,5.61,,,64.8,,,3.4,,1.5,6.9,6.9,10.7,211,89.9,42,277,,5.9,7.4,-41.62,,,,,108.1,40.77,,,,,,,,32,1,1,31,32,29,32,,,20,219,86,39.3,11,6,54.5,49,24,49,178,1034,33.1,11.2,5.8,28.7,29.4,2.51,1.67,5,11,0.313,264,,-56,-3.5,2.2,-1.3,-4.6,3.3,,4599,934,4.9,22,10,266,291,473,2811,13,12,5.5,144,422,1788,13,4.2,92,115,943,30,24.1,12.1,-68.72,,,61.5,,,2.7,,2.5,70,6.5,5.9,10.6,175.7,79.1,39,274,,4.9,7.6,0,2,-40.95,,,,53,,111.8,24,-21.57,,,,,,,,31,1,2,,26,28,16,22,,,16.5,205,71,34.6,18,7,38.9,33,20,60.6,174,961,24.1,12.1,5.5,26.3,27.1,2.41,1.32,-119,,-176,,-16.8,,-19.5,29.2,,362,1981,1542,7,,,7,,,-2.4,3.65,4.08,58,26,26,28,1.2,11,0.97,6,39,0.08,4.5,4.16,0.79,30,0.14,32,1.06,9,0.62,11,42,0.08,-0.15,17,-0.11,,-0.13,29,-0.07,17,-0.16,-0.13,-0.09,0.12,,,,-0.02,23,-0.01,,0.05,14,-0.09,13,0.00,0.06,-0.09,0.03,,,,51.1,167,189,22,10000,3,4,0,0
Bengals,349,5425,1091,5,14,3,325,336,561,3379,20,11,5.6,173,489,2046,13,4.2,111,106,906,41,37,7.6,-14.61,,,59.9,,,3.6,,2,6.5,6.3,10.9,211.2,82.9,41,278,,5.5,6.8,-27.07,,,,,127.9,5.34,,,,,,,,35,0,0,34,35,35,40,,,21.8,241,98,40.7,19,9,47.4,56,26,46.4,184,1134,37,7.6,6.2,29.4,29.3,2.52,1.83,7,9,0.438,290,,-59,-3.7,-1.3,-5,-4.1,-0.9,,4488,927,4.8,23,11,267,304,510,3122,25,12,5.7,165,377,1366,6,3.6,72,110,1027,30,26.5,11.4,-54.62,,,59.6,,,4.9,,2.4,77,6.6,6.6,11.1,195.1,86,40,264,,5.6,7.3,3,3,3.09,,,,25,,85.4,22,-53.02,,,,,,,,34,0,0,,32,34,18,20,,,18.1,199,67,33.7,12,5,41.7,43,24,55.8,185,946,26.5,11.4,5.1,24.2,27.9,2.22,1.46,87,,75,,-8.6,,-9,41.1,,536,3061,2894,25,,,12,,,2.2,3.79,3.7,59,24,18,9,1.17,12,0.41,31,40,0.07,4.38,4.06,0.70,25,0.19,25,1.26,26,0.49,3,41,0.06,-0.07,11,0.00,,0.01,21,-0.10,20,-0.10,-0.02,-0.14,0.16,,,,0.04,17,0.08,,0.10,17,-0.03,24,-0.01,0.01,-0.03,0.03,,,,49.8,201,189,-12,8000,6,6.5,0,0
Browns,410,5250,1026,5.1,13,6,315,360,525,3684,28,7,6.6,189,467,1566,14,3.4,95,101,906,31,36.2,6.9,-60.07,,,68.6,,,5.3,,1.3,7.4,7.9,10.8,230.3,102.3,34,197,,7,6.1,-116.48,,,,,97.9,61.13,,,,,,,,48,2,3,41,44,25,29,,,25.6,224,91,40.6,10,5,50,46,31,67.4,188,1060,36.2,6.9,5.6,27.8,30.5,2.47,2,0,16,0,234,,-176,-11,0,-11,-6.8,-4.1,,4942,1008,4.9,41,13,290,312,574,3228,15,28,5.2,157,384,1714,11,4.5,97,110,924,36,22,21,-93.66,,,54.4,,,2.6,,4.9,56,6.2,4.5,11.3,201.8,61.4,50,309,,3.6,8,0,0,-97.3,,,,59,,107.1,25,8.93,,,,,,,,27,1,1,,25,26,15,20,,,14.6,216,73,33.8,23,12,52.2,39,19,48.7,186,1028,22,21,5.5,26.5,26.5,2.26,1.22,-756,,-889,,-34.5,,-38.6,29.4,,514,2679,1580,11,,,20,,,1.2,4.09,4.15,74,4,19,11,1.23,8,0.75,15,50,0.08,3.27,3.35,0.56,8,0.30,1,1.08,12,0.6,8,34,0.07,-0.20,29,-0.15,,-0.31,32,0.01,9,-0.23,-0.36,0.02,0.07,,,,0.02,30,0.01,,0.22,26,-0.21,4,0.04,0.24,-0.19,0.04,,,,103.2,158,156,-2,8000,1,0.5,2,0
Cowboys,332,5089,1000,5.1,21,11,312,371,559,3425,28,10,5.7,181,403,1664,7,4.1,96,107,880,35,31.6,10.5,-61.21,,,66.4,,,5,,1.8,6.7,6.9,10.1,214.1,94.6,38,321,,5.9,6.4,-71.8,,,,,104,4.52,,,,,,,,40,3,5,29,35,19,25,,,20.8,210,90,42.9,13,4,30.8,49,28,57.1,171,1026,31.6,10.5,6,29.6,25.8,2.47,1.77,9,7,0.563,354,,22,1.4,0.2,1.6,0.4,1.2,,5311,1005,5.3,22,9,314,309,493,3141,22,13,6,162,480,2170,18,4.5,127,97,939,25,36.3,11.1,52.4,,,62.7,,,4.5,,2.6,81,6.7,6.5,10.8,196.3,86.3,32,185,,5.7,6.1,0,4,10.6,,,,70,,135.6,11,47.09,,,,,,,,42,0,3,,36,39,22,29,,,22.1,203,87,42.9,19,10,52.6,52,31,59.6,171,1041,36.3,11.1,6.1,31.1,29.9,2.5,2.02,375,,322,,-0.2,,-1.7,66.7,,520,3139,3257,22,,,13,,,0.5,4.66,4.26,77,3,17,4,1.16,16,0.67,19,32,0.06,3.95,4.12,0.83,32,0.22,11,1.25,25,0.76,20,38,0.07,0.07,3,0.04,,0.05,18,0.12,2,0.06,0.03,0.12,0.09,,,,0.06,18,0.00,,0.13,18,-0.04,22,0.06,0.14,-0.05,0.06,,,,42.7,237,214,-23,3000,13,11,0,0
Broncos,382,4640,952,4.9,17,7,266,294,491,3210,29,10,6.1,166,428,1430,9,3.3,68,89,821,32,32.5,8.8,59.44,,,59.9,,,5.9,,2,6.9,7.2,11.5,200.6,91.9,33,175,,6.4,6.3,-46.64,,,,,89.4,97.45,,,,,,,,44,0,0,42,44,24,27,,,23.9,209,66,31.6,21,7,33.3,41,24,58.5,194,988,32.5,8.8,5.1,23.8,33.2,2.21,1.78,5,11,0.313,289,,-93,-5.8,-0.9,-6.7,-3.9,-2.9,,5185,1075,4.8,34,12,297,332,566,3333,19,22,5.4,180,457,1852,8,4.1,92,113,885,25,26.4,16.6,-94.88,,,58.7,,,3.4,,3.9,54,6.5,5.4,11,208.3,73,52,335,,4.4,8.4,0,0,-55.92,,,,40,,115.8,26,-26.92,,,,,,,,31,2,4,,27,27,24,32,,,18.1,241,94,39,20,7,35,48,19,39.6,193,1106,26.4,16.6,5.7,26.9,27,2.37,1.35,-327,,-242,,-24.6,,-21.1,27.8,,382,2063,1524,12,,,14,,,1.7,4.31,4.03,65,15,18,7,1.11,18,0.51,26,52,0.09,3.37,3.44,0.45,1,0.26,3,0.91,3,0.6,9,33,0.07,-0.19,28,-0.25,,-0.18,31,-0.12,22,-0.15,-0.15,-0.07,0.09,,,,-0.05,1,-0.02,,0.08,15,-0.21,3,-0.05,0.10,-0.24,0.06,,,,61.4,214,176,-38,4000,9,7,1,0
