Player,Position,Height,Weight,Seasons-Col,Games-Col,Tackles-Col,TFL-Col,PD-game-Col,Int-Col,PD-Col,FF-Col,40 yd dash,Vertical,DC Pos,DraftPos,Games-FY,Tackles-FY,STF-FY,PD-game-FY,Int-FY,PD-FY,FF-FY,AV-FY,RProdScale,Similarity Factor
Marshon Lattimore,CB,72,193,2,16,45,1,0.7,4,11,0,4.36,38.5,2,11,13,43,1,1.4,5,18,1,8,165.6,146.76
Darius Slay,CB,72,192,2,26,64,2,0.8,6,21,0,4.36,35.5,1,36,13,27,1,0.5,0,6,0,2,16.2,23.37
Marcus Peters,CB,72,197,3,34,129,9.5,0.5,11,16,1,4.53,37.5,1.5,18,16,53,2,1.6,8,26,1,11,314.6,295.95
Xavien Howard,CB,72,201,3,29,98,5.5,0.8,10,23,1,4.58,33,2,38,7,29,1,0.9,0,6,1,2,18.2,21.5
Patrick Robinson,CB,71,190,4,44,117,7,0.6,7,26,2,4.46,39,2.5,32,11,26,1,0.2,0,2,0,2,12.6,26.46
TreDavious White,CB,71,192,4,49,167,11,0.7,6,34,1,4.47,32,1,27,16,53,3,1.1,4,18,1,5,112.5,93.83
Jalen Ramsey,CB,73,209,3,41,181,15.5,0.5,3,22,4,4.41,41.5,1,5,16,55,3,0.9,2,14,1,8,157.6,138.9
Terrance Mitchell,CB,71,192,3,27,144,3,0.9,7,25,4,4.63,34,4,254,0,0,0,0,0,0,0,0,0,53.59
Kendall Fuller,CB,71,187,3,29,119,8,0.9,8,25,2,4.48,35.5,2.5,84,13,32,0,0.2,0,2,0,2,14.4,21.74
Casey Hayward,CB,71,192,4,50,198,18,0.4,15,21,1,4.47,34,2,62,16,35,1,1.3,6,21,1,4,84.4,67.02
Quandre Diggs,CB,69,196,4,52,220,14,0.5,11,27,3,4.56,35.5,4,200,16,28,2,0.4,0,6,1,2,18.4,22.19
Kyle Fuller,CB,72,190,4,46,173,23.5,0.5,6,21,3,4.49,38.5,2,300,16,50,3,0.6,4,10,3,5,99.5,80.74
Bashaud Breeland,CB,71,197,3,27,136,8.5,0.6,6,17,2,4.62,34.5,3,102,16,58,3,0.8,2,13,2,6,123,104.68
