Name,Position,Height,Weight,Seasons-Col,Games-Col,Rec-Col,Yards-Col,Yards-game-Col,Yards-rec-Col,TDs-Col,40 yd dash,Vertical,DC Pos,Draft Pos,Rec-FY,Yards-FY,Yards-game-FY,Yards-rec-FY,TDs-FY,FPoints-FY,Similarity factor
DeAndre Hopkins,WR,73,214,3,39,206,3020,77.4,14.7,27,4.57,36,2,27,52,802,53.5,15.4,2,92.2,811.32
Antonio Brown,WR,70,186,3,41,305,3199,78,10.5,22,4.56,33.5,6,195,16,167,18.6,10.4,0,16.7,258.66
Keenan Allen,WR,74,206,3,33,205,2570,77.9,12.5,17,4.58,30,3.5,76,71,1046,70,14.7,8,152.6,1064.61
Marvin Jones,WR,74,199,4,43,156,2270,52.8,14.6,13,4.46,33,4,166,18,201,18,11.2,1,26.1,263.46
Julio Jones,WR,75,220,3,40,179,2653,66.3,14.8,15,4.34,38.5,2,6,54,959,73.8,17.8,8,143.9,974.25
Tyreek Hill,WR,70,185,1,11,27,444,40.4,16.4,3,4.25,40.5,3,165,61,593,37.1,9.7,9,138,634.97
Brandin Cooks,WR,70,189,3,38,226,3272,86.1,14.5,24,4.33,36,2,20,53,550,55,10.4,4,79,561.34
Michael Thomas,WR,75,212,3,39,113,1602,41.1,14.2,18,4.57,35,1,47,92,1137,75.8,12.4,9,167.7,1156.52
Larry Fitzgerald,WR,75,225,2,26,161,2677,103,16.6,34,4.48,30,2,3,58,780,48.8,13.4,8,126,793.9
A.J. Green,WR,76,211,3,32,166,2619,81.8,15.8,23,4.48,34.5,2,4,65,1057,70.5,16.3,7,147.7,1071.72
Davante Adams,WR,73,212,2,26,233,3031,116.6,13,38,4.56,39.5,3,53,38,446,27.9,11.7,3,62.6,456.08
Jarvis Landry,WR,71,205,3,40,137,1809,45.2,13.2,15,4.65,28.5,4,63,84,758,47.4,9,5,105.8,774.04
Odell Beckham Jr.,WR,71,198,3,40,143,2340,58.5,16.4,12,4.38,38.5,2,12,91,1305,108.8,14.3,12,202.5,1328.4
Alshon Jeffery,WR,75,216,3,40,183,3042,76.1,16.6,23,4.48,30,4,45,24,367,36.7,15.3,3,54.7,376.66
Stefon Diggs,WR,72,195,3,28,150,2227,79.5,14.8,14,4.46,35,5,146,52,720,55.4,13.8,4,96,744.92
Mike Evans,WR,77,231,2,26,151,2499,96.1,16.5,17,4.53,37,2,7,68,1051,70.1,15.5,12,177.1,1070.48
Devin Funchess,WR,76,232,3,37,126,1715,46.4,13.6,15,4.7,38.5,5,41,31,473,29.6,15.3,5,77.3,483.2
JuJu Smith-Schuster,WR,73,215,3,40,213,3092,77.3,14.5,25,4.54,32.5,3,62,58,917,65.5,15.8,7,133.7,933.04
Golden Tate,WR,70,199,3,37,157,2707,73.2,17.2,26,4.42,35,4,60,21,227,20.6,10.8,0,22.7,237.96
Demaryius Thomas,WR,75,224,3,39,120,2339,60,19.5,15,4.52,30,4,22,22,283,28.3,12.9,2,40.3,289.23
Nelson Agholor,WR,72,198,3,40,178,2572,64.3,14.4,20,4.42,31,4,20,23,283,21.8,12.3,1,34.3,287.79
T.Y. Hilton,WR,69,183,4,50,229,3531,70.6,15.4,24,4.34,29,5,92,50,861,57.4,17.2,7,128.1,878.83
