Team,Wins,Losses,PythWins,PointsAllowed,PointsFor,MoV,SOS,VAR,oDVOA,DVOA,TOL,SC%,TO%,oEXP,pEXP,rEXP,RZ%,PPD,dEXP,Takeaways,dSc%,dTO%,dpEXP,drEXP,dRZ%,PPDa,AVg,AVl,ImpAdd,NYWins,NYDVOA,NYPA,NYPF,NYoDVOA,NYdDVOA
2016 Patriots,14,2,12,250,441,11.9,-2.7,4.2,24.3,-6.4,11,42.9,4.9,218.87,254.97,-36.1,63.3,2.41,23.42,23,26.8,11.2,-16.62,40.04,52.3,1.41,19,27,0,13,22.6,296,458,27.3,10.9
2016 Dolphins,10,6,8,380,363,-1.1,-1.3,6.8,7.5,2.8,23,30.7,11.1,30.74,59.8,-29.06,55.3,1.81,-80,25,35.1,12.9,-63.98,-16.02,56.9,1.92,15,14,2,6,-19.8,393,281,-13.1,9.4
2016 Bills,7,9,8,378,399,1.3,-1.6,7.2,10.7,10,12,36.7,6.8,110.44,50.53,59.91,64.8,2.14,-60.14,18,38.8,9.3,-68.73,8.59,52.6,2.06,25,31,1,9,-9.8,369,302,-11.1,1.6
2016 Jets,5,11,5,409,275,-8.4,-0.1,6.4,-25.8,0.9,34,29.7,17.8,-34.38,-25.88,-8.5,35.2,1.5,-81.03,14,37.7,7.1,-138.14,57.11,56.9,2.05,28,24,2,5,-17.2,382,298,-10.3,-3
2016 Steelers,11,5,10,327,399,4.5,0.2,7.7,13.4,-7.7,18,38.5,9.9,138.04,154.88,-16.84,59.2,2.16,-49.01,23,34.5,11.9,-95.12,46.11,45.6,1.82,12,14,3,13,27.1,308,406,29.1,-6.4
2016 Ravens,8,8,9,321,343,1.4,0.2,7.3,0.1,-5.8,23,35.6,10.5,-15.2,-3.95,-11.25,52.2,1.7,-5.6,28,28.1,14.1,-66.07,60.47,55.3,1.64,21,11,3,9,18.6,303,395,-4.5,-13.9
2016 Bengals,6.5,9.5,8,315,325,0.6,0.4,4.6,5.9,-0.9,17,35.8,8.5,100.7,99.42,1.28,53.7,1.87,-52.04,20,34.7,11.4,-67.84,15.8,51,1.81,7,7,1,7,-12.6,349,290,-6.5,3.7
2016 Browns,1,15,4,452,264,-11.8,1.7,4.1,-15.1,14.3,25,27.2,13.3,6.67,22.11,-15.44,54.5,1.44,-185.58,13,40.8,6.1,-174.69,-10.89,66.7,2.43,22,27,4,0,-27.2,410,234,-20.1,2
2016 Texans,9,7,7,328,279,-3.1,0.4,3.7,-18.7,-6,24,31.4,11.4,-66.12,-26.81,-39.31,40.9,1.44,32.65,17,31.7,9.1,-25.95,58.6,52.3,1.68,13,14,3,4,-20,436,338,-9.9,5.6
2016 Titans,9,7,8,378,381,0.2,-1.2,4.9,14.4,8.3,18,36.4,9.8,77.68,81.97,-4.29,72,2.07,-63.76,18,35,9,-110.66,46.9,52.7,1.84,18,12,4,9,-5.7,356,334,-2.2,5
