Player,Position,Height,Weight,Seasons-Col,Games-Col,Yards-Col,TDs-Col,AYA-Col,PR-Col,Int-Col,CPercent-Col,RAtt-Col,RYards-Col,RTD-Col,Wonderlic,40 yd dash,DC Pos,DraftPos
Baker Mayfield,QB,73,215,4,48,14607,131,10.6,175.4,30,68.5,404,1083,21,25,4.84,1.5,1
Sam Darnold,QB,75,221,3,27,7229,57,8.7,153.7,57,64.9,137,332,7,28,4.85,1.5,3
Josh Allen,QB,77,237,3,27,5066,44,7.7,137.7,21,56.2,237,767,12,37,4.75,1.5,7
Josh Rosen,QB,76,226,3,30,9340,59,8,140.1,26,60.9,109,-154,6,29,4.92,1.5,10
Lamar Jackson,QB,74,216,3,38,9043,69,8.5,142.9,27,57,655,4132,50,13,4.4,2,32
Mason Rudolph,QB,77,235,4,42,13618,92,9.9,159.7,26,63.2,225,28,17,28,4.9,2.5,76
Kyle Lauletta,QB,75,222,4,40,10456,73,8.8,125,35,63.5,198,186,12,29,5.02,2.5,108
Mike White,QB,76,224,5,43,11262,74,8.1,142.9,31,62,136,-470,6,27,5.09,2,171
Luke Falk,QB,76,215,4,42,14481,119,7.4,142.8,39,68.3,251,-400,4,29,5.2,2.5,199
Tanner Lee,QB,76,220,3,31,6744,46,5.8,117.1,37,55.2,89,-324,2,26,5.14,3,203
Danny Etling,QB,75,215,5,37,7076,43,7.3,129.6,19,57.9,201,70,7,25,4.98,3,219
