Player,Position,Height,Weight,Seasons-Col,Games-Col,Yards-Col,Carries-Col,Avg-Carry-Col,Avg-Game-Col,TDs-Col,Rec-Col,RecYards-Col,RecTDs-Col,40 yd dash,Vertical,DC Pos,DraftPos
Saquon Barkley,RB,72,233,3,38,3843,671,5.7,101.1,43,102,1195,8,4.4,41,1,2
Rashaad Penny,RB,71,220,4,51,3656,488,7.5,71.7,38,42,479,6,4.46,32.5,1.5,27
Sony Michel,RB,71,214,4,47,3613,590,6.1,76.9,33,64,621,6,4.54,30,2,31
Nick Chubb,RB,71,227,4,47,4769,758,6.3,101.5,44,31,361,4,4.52,38.5,2,35
Ronald Jones,RB,71,208,3,40,3619,591,6.1,90.5,39,32,302,3,4.48,30,1.5,38
Kerryon Johnson,RB,71,213,3,36,2494,519,4.8,69.3,32,55,478,2,4.54,40,2,43
Derrius Guice,RB,70,224,3,35,3074,471,6.5,87.8,29,32,250,3,4.49,31.5,1.5,59
Royce Freeman,RB,71,229,4,51,5621,947,5.9,110.2,60,79,814,4,4.54,34,1.5,71
Nyheim Hines,RB,68,198,3,38,1400,258,5.4,36.8,13,89,933,1,4.38,35.5,2.5,104
Mark Walton,RB,70,202,3,31,2006,395,5.1,64.7,26,56,624,2,4.6,31.5,3,112
Ito Smith,RB,69,195,4,51,4538,820,5.5,89,42,140,1446,7,4.49,30,3,126
Kalen Ballage,RB,73,228,4,46,1984,450,4.4,43.1,27,82,684,2,4.46,33.5,3,131
Jordan Wilkins,RB,73,216,3,38,1751,279,6.3,46.1,14,32,322,1,4.5,30,3.5,169
John Kelly,RB,70,216,3,29,1573,327,4.8,54.2,15,43,350,0,4.5,35,2.5,176
Boston Scott,RB,66,199,5,38,1840,288,6.4,48.4,14,32,307,1,4.4,38.5,3.5,201
