Name,Position,Height,Weight,Seasons-Col,Games-Col,Rec-Col,Yards-Col,Yards-game-Col,Yards-rec-Col,TDs-Col,40 yd dash,Vertical,DC Pos,Draft Pos
Corey Davis,WR,75,209,4,40,331,5278,132,15.9,52,4.52,34,2,5
Mike Williams,WR,76,218,4,38,177,2727,71.8,15.4,21,4.49,32.5,2,7
John Ross,WR,71,188,4,40,114,1729,43.2,15.2,22,4.22,37,3,9
Zay Jones,WR,74,200,4,49,399,4279,87.3,10.7,23,4.45,36.5,3,37
Curtis Samuel,WR,71,196,3,40,107,1249,31.2,11.7,9,4.31,37,4,40
JuJu Smith-Schuster,WR,73,215,3,40,213,3092,77.3,14.5,25,4.54,32.5,3,62
Cooper Kupp,WR,74,198,4,52,428,6484,124.7,15.1,73,4.62,29.5,3,69
Taywan Taylor,WR,71,203,4,48,253,4234,88.2,16.7,41,4.5,33.5,5,72
ArDarius Stewart,WR,71,204,3,33,129,1713,51.9,13.3,12,4.49,34,6,79
Chris Godwin,WR,73,209,3,39,154,2421,62.1,15.7,18,4.42,36,4,84
Kenny Golladay,WR,76,218,2,26,160,2285,87.9,14.3,18,4.5,35.5,3.5,96
Amara Darboh,WR,74,214,4,37,151,2062,55.7,13.7,14,4.45,36,5,106
Dede Westbrook,WR,72,178,2,26,126,2267,87.2,18,21,4.34,34.5,6,110
Josh Reynolds,WR,75,194,3,38,164,2788,73.4,17,30,4.52,37,5.5,117
Mack Hollins,WR,76,221,4,41,81,1667,40.7,20.6,20,4.53,33.5,4,118
Josh Malone,WR,75,208,3,32,104,1608,50.3,15.5,14,4.4,30.5,6.5,128
Shelton Gibson,WR,71,191,3,32,84,1898,59.3,22.6,17,4.5,32,7,166
Trent Taylor,WR,68,181,4,51,327,4179,81.9,12.8,32,4.63,33,6,177
